platform,date,title,type,views,reach,likes,comments,shares,saves,interactions,avg_watch_sec,total_watch_hours,url
instagram,2023-04-20,다가오는 5월은 마음이 따뜻해지는 가정의 달!👨‍👩‍👧‍👧 1년간,carousel,19,19,29,0,0,0,29,0,0,https://www.instagram.com/p/CrP42v9Pkun/
instagram,2023-04-18,한눈에 보는 이달의 혜택 ✨✨LG 라이프 UP 페스티벌!✨✨ _ 이벤트 ,carousel,14,14,19,3,0,0,22,0,0,https://www.instagram.com/p/CrKaD8kv4sj/
instagram,2023-04-12,*하루 종일 나른한가요? *괜스레 온몸에 힘이없나요? *꾸벅꾸벅 졸음이 ,carousel,12,12,14,2,0,0,16,0,0,https://www.instagram.com/p/Cq7KflDvixV/
instagram,2023-04-07,컬러 개발 기업 '팬톤'이 매년 선정하는 '올해의 컬러'! 2023년 올,carousel,13,13,14,2,0,0,16,0,0,https://www.instagram.com/p/CquPsl1PQPG/
instagram,2023-04-04,"HELLO, SPRING🌷 같이 나갈까? 벚꽃이 만개한 지금! 우리는 ",carousel,12,12,16,2,0,4,22,0,0,https://www.instagram.com/p/CqmJfRovok6/
instagram,2023-03-28,#중요한것은 #절약을향한 #꺾이지않는마음 #무지출챌린지 _ 절약을 하다보,carousel,11,11,12,2,0,0,14,0,0,https://www.instagram.com/p/CqUeejJPlEq/
instagram,2022-12-30,당신의 연말 연시는 어떤 모습인가요? _ 고생한 1년을 마무리하며 후회없,carousel,13,13,15,1,0,0,16,0,0,https://www.instagram.com/p/Cmx6aqavq_s/
instagram,2022-12-15,🤩컴퓨존 인증! 리퍼비시/중고 상품 특가전🤩 _ 사용에는 아무런 문제,carousel,11,11,12,0,0,0,12,0,0,https://www.instagram.com/p/CmLYm-5vcJM/
instagram,2022-12-09,코앞으로 다가온 크리스마스🎀 설레는 연말 잘 즐기고 계신가요? 완벽한 ,carousel,11,11,14,0,0,0,14,0,0,https://www.instagram.com/p/Cl8Op8jP0_N/
instagram,2022-11-16,수험생 여러분들의 수능 대박을 컴퓨존이 응원합니다👏👏👏 그동안 준비,carousel,12,12,13,2,0,0,15,0,0,https://www.instagram.com/p/ClA5MlMvfLW/
instagram,2022-11-11,"코앞으로 다가온 추운 겨울, 컴퓨존과 함께 준비해볼까요?🥶 _ 이벤트 ",carousel,7,7,15,1,0,0,16,0,0,https://www.instagram.com/p/CkzuPxEPxUK/
instagram,2022-11-04,✋✋✋주목하세요✋✋✋ 💥💥💥삼성전자 갤럭시 버즈2 온라인 최저가💥,carousel,9,9,21,0,0,0,21,0,0,https://www.instagram.com/p/Ckh5KyQP0Ap/
instagram,2022-10-06,"다가오는 10월 9일은 한글의 우수성을 널리 알리는, 한글날입니다! 이날",carousel,8,8,28,1,0,0,29,0,0,https://www.instagram.com/p/CjXWRENOWhZ/
instagram,2022-06-29,컴퓨존에 전자제품만 판다고 생각하면 😱❌❌❌ 인싸로 만들어주는 대형 버,carousel,10,10,28,1,0,2,31,0,0,https://www.instagram.com/p/CfXtpX0v3rI/
instagram,2022-06-14,#EVENT _ 삼성 메모리가 호캉스를 쏩니다!!!!!!😝 _ 이벤트 ,carousel,12,12,26,1,0,0,27,0,0,https://www.instagram.com/p/CexjSJhPf4w/
instagram,2022-06-02,"LG 듀얼업 모니터👀 _ 프로그래머, 크리에이터, 스트리머, 유튜버, ",carousel,140,140,21,0,0,5,26,0,0,https://www.instagram.com/p/CeSpmadPmQe/
instagram,2026-08-10,✨ 막내의 리뷰✨루메나 손풍기 편 아직 더운 여름 손풍기 막차 타세요〰️,reel,1832,1537,21,0,0,1,22,7,3.2,https://www.instagram.com/reel/Db16Wo9oxKX/
